,Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Children in Poverty,Food Insecurity,Household with No Internet Service,Number of Dentists,Overall SVI,Severe Housing Cost Burden,Urban_Rural
0,2018,56039.0,Teton County,Wyoming,3.8,96.496665727,4.3,9.0,8.0,22,0.1127,11.592565972,Urban
1,2018,53055.0,San Juan County,Washington,4.5,80.867524891,11,9.8,8.6,12,0.0863,15.825254941,Rural
2,2018,49043.0,Summit County,Utah,4.8,94.474727453,4.8,8.2,5.1,22,0.05,11.841445058,Urban
3,2018,27045.0,Fillmore County,Minnesota,5.0,77.690980543,11.2,8.3,19.0,12,0.2169,8.4904541681,Urban
4,2018,30031.0,Gallatin County,Montana,5.0,76.39895881,7.1,7.3,8.9,79,0.0427,14.289587852,Urban
5,2018,6057.0,Nevada County,California,5.1,67.783807865,11,10.4,11.5,84,0.2045,18.834518682,Urban
6,2018,16013.0,Blaine County,Idaho,5.1,74.040980539,7.7,8.9,11.8,19,0.3239,13.084702908,Urban
7,2018,8037.0,Eagle County,Colorado,5.2,96.564936682,7.2,6.6,6.7,37,0.1369,20.594081272,Urban
8,2018,8039.0,Elbert County,Colorado,5.3,36.498310664,6.8,6.2,6.7,2,0,11.859273066,Urban
9,2018,8069.0,Larimer County,Colorado,5.3,87.395454394,7.6,9.8,6.9,295,0.1194,15.07959457,Urban
10,2018,56019.0,Johnson County,Wyoming,5.3,62.049247287,10.3,13.1,16.8,6,0.1774,8.073289436,Rural
11,2018,8067.0,La Plata County,Colorado,5.4,69.978961312,12.2,9.1,16.1,50,0.1086,12.446310506,Urban
12,2018,41003.0,Benton County,Oregon,5.4,87.221164071,11.3,10.8,6.4,67,0.349,18.219633943,Urban
13,2018,53031.0,Jefferson County,Washington,5.4,78.655597215,16.6,13.2,10.0,16,0.2414,13.719953165,Rural
14,2018,8013.0,Boulder County,Colorado,5.5,94.163976277,6.3,9.2,6.1,349,0.1704,17.66764362,Urban
15,2018,8035.0,Douglas County,Colorado,5.5,91.118350761,2.6,5.8,2.5,248,0.015,10.268725176,Urban
16,2018,19081.0,Hancock County,Iowa,5.5,36.143197249,10.2,8.5,19.0,6,0.0713,9.0416305291,Rural
17,2018,26047.0,Emmet County,Michigan,5.5,68.676209702,12.1,12.8,14.3,38,0.1357,11.499816648,Rural
18,2018,51107.0,Loudoun County,Virginia,5.5,88.794823109,3.1,4.0,3.5,292,0.0904,8.8577249472,Urban
19,2018,55025.0,Dane County,Wisconsin,5.5,91.206438381,8.6,7.8,7.4,405,0.1688,12.773340258,Urban
20,2018,8007.0,Archuleta County,Colorado,5.6,91.88182721,16.2,10.4,14.0,6,0.257,14.381388791,Rural
21,2018,8049.0,Grand County,Colorado,5.6,73.017584046,9,8.7,10.0,6,0.0987,10.834432718,Rural
22,2018,8117.0,Summit County,Colorado,5.6,99.985711224,6.4,8.0,10.1,31,0.0707,11.649973643,Urban
23,2018,51059.0,Fairfax County,Virginia,5.6,99.248793132,7,5.8,4.2,1253,0.1876,12.229076953,Urban
24,2018,6087.0,Santa Cruz County,California,5.7,94.960782371,10.6,10.1,10.1,220,0.543,20.421551163,Urban
25,2018,8045.0,Garfield County,Colorado,5.7,84.697370054,9.4,8.2,11.6,46,0.351,10.513343129,Urban
26,2018,8059.0,Jefferson County,Colorado,5.7,98.822545614,6.6,8.4,7.1,567,0.0627,12.202890579,Urban
27,2018,8119.0,Teller County,Colorado,5.7,79.725910064,11.7,9.6,6.8,13,0.0729,11.311053985,Urban
28,2018,19191.0,Winneshiek County,Iowa,5.7,65.981193009,8.4,7.3,15.1,13,0.0115,9.0339556447,Rural
29,2018,27121.0,Pope County,Minnesota,5.7,44.065484311,8.3,8.0,19.3,3,0.0315,9.6360628619,Rural
30,2018,34019.0,Hunterdon County,New Jersey,5.7,82.04426992,3.9,5.5,7.5,110,0.0264,11.686204172,Urban
31,2018,30009.0,Carbon County,Montana,5.8,41.218495733,13.2,9.2,17.9,7,0.0433,9.9333180041,Urban
32,2018,35049.0,Santa Fe County,New Mexico,5.8,73.366164944,17.4,10.6,16.8,134,0.5255,14.714868458,Urban
33,2018,6041.0,Marin County,California,5.9,96.354329679,5.8,7.4,6.3,315,0.2701,18.655032199,Urban
34,2018,8093.0,Park County,Colorado,5.9,63.001357522,11.3,8.6,14.0,3,0.0006,10.906720742,Urban
35,2018,8097.0,Pitkin County,Colorado,5.9,92.535572662,5.2,8.7,3.2,12,0.0656,12.168421053,Urban
36,2018,8107.0,Routt County,Colorado,5.9,75.086137224,6.2,9.4,6.6,26,0.0634,15.368141954,Urban
37,2018,13143.0,Haralson County,Georgia,5.9,16.268241835,20,15.0,21.3,6,0.5427,12.094717668,Urban
38,2018,26055.0,Grand Traverse County,Michigan,5.9,70.08829007,10,11.2,11.1,96,0.1803,11.375761168,Urban
39,2018,49051.0,Wasatch County,Utah,5.9,66.404589885,6.2,9.4,7.1,18,0.0643,11.738616203,Urban
40,2018,51510.0,Alexandria City,Virginia,5.9,100,12.7,8.4,6.4,137,0.2003,13.778453494,Urban
41,2018,6061.0,Placer County,California,6.0,90.727315516,6.2,8.1,7.8,418,0.1519,14.564606742,Urban
42,2018,8015.0,Chaffee County,Colorado,6.0,99.32618339,11.2,10.6,14.5,12,0.2389,13.709677419,Rural
43,2018,8051.0,Gunnison County,Colorado,6.0,82.243539546,8.8,10.0,9.4,9,0.1392,17.631103074,Rural
44,2018,20105.0,Lincoln County,Kansas,6.0,0.9256402345,17.1,11.5,23.5,No Data,0.1322,9.0534979424,Rural
45,2018,30057.0,Madison County,Montana,6.0,26.108438435,12.9,8.2,16.3,1,0.1726,11.728395062,Rural
46,2018,31031.0,Cherry County,Nebraska,6.0,61.053737091,14.9,11.7,18.5,9,0.2261,10.579710145,Rural
47,2018,38043.0,Kidder County,North Dakota,6.0,7.2689938398,19.5,6.8,21.0,No Data,0.029,5.3359683794,Rural
