,Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Children in Poverty,Food Insecurity,Household with No Internet Service,Number of Dentists,Overall SVI,Severe Housing Cost Burden,Urban_Rural
0,2018,56039.0,Teton County,Wyoming,3.8,96.496666,4.3,9.0,8.0,22.0,0.1127,11.592566,1.0
1,2018,53055.0,San Juan County,Washington,4.5,80.86752,11.0,9.8,8.6,12.0,0.0863,15.825255,0.0
2,2018,49043.0,Summit County,Utah,4.8,94.474724,4.8,8.2,5.1,22.0,0.05,11.841445,1.0
3,2018,27045.0,Fillmore County,Minnesota,5.0,77.69098,11.2,8.3,19.0,12.0,0.2169,8.490454,1.0
4,2018,30031.0,Gallatin County,Montana,5.0,76.39896,7.1,7.3,8.9,79.0,0.0427,14.289588,1.0
5,2018,6057.0,Nevada County,California,5.1,67.783806,11.0,10.4,11.5,84.0,0.2045,18.834518,1.0
6,2018,16013.0,Blaine County,Idaho,5.1,74.04098,7.7,8.9,11.8,19.0,0.3239,13.0847025,1.0
7,2018,8037.0,Eagle County,Colorado,5.2,96.56493,7.2,6.6,6.7,37.0,0.1369,20.594082,1.0
8,2018,8039.0,Elbert County,Colorado,5.3,36.49831,6.8,6.2,6.7,2.0,0.0,11.859273,1.0
9,2018,8069.0,Larimer County,Colorado,5.3,87.395454,7.6,9.8,6.9,295.0,0.1194,15.079595,1.0
10,2018,56019.0,Johnson County,Wyoming,5.3,62.049248,10.3,13.1,16.8,6.0,0.1774,8.07329,0.0
11,2018,8067.0,La Plata County,Colorado,5.4,69.97896,12.2,9.1,16.1,50.0,0.1086,12.44631,1.0
12,2018,41003.0,Benton County,Oregon,5.4,87.22116,11.3,10.8,6.4,67.0,0.349,18.219633,1.0
13,2018,53031.0,Jefferson County,Washington,5.4,78.655594,16.6,13.2,10.0,16.0,0.2414,13.719954,0.0
14,2018,8013.0,Boulder County,Colorado,5.5,94.16398,6.3,9.2,6.1,349.0,0.1704,17.667645,1.0
15,2018,8035.0,Douglas County,Colorado,5.5,91.11835,2.6,5.8,2.5,248.0,0.015,10.268725,1.0
16,2018,19081.0,Hancock County,Iowa,5.5,36.143196,10.2,8.5,19.0,6.0,0.0713,9.041631,0.0
17,2018,26047.0,Emmet County,Michigan,5.5,68.67621,12.1,12.8,14.3,38.0,0.1357,11.499817,0.0
18,2018,51107.0,Loudoun County,Virginia,5.5,88.79482,3.1,4.0,3.5,292.0,0.0904,8.857725,1.0
19,2018,55025.0,Dane County,Wisconsin,5.5,91.206436,8.6,7.8,7.4,405.0,0.1688,12.77334,1.0
20,2018,8007.0,Archuleta County,Colorado,5.6,91.88183,16.2,10.4,14.0,6.0,0.257,14.381389,0.0
21,2018,8049.0,Grand County,Colorado,5.6,73.017586,9.0,8.7,10.0,6.0,0.0987,10.834433,0.0
22,2018,8117.0,Summit County,Colorado,5.6,99.98571,6.4,8.0,10.1,31.0,0.0707,11.649974,1.0
23,2018,51059.0,Fairfax County,Virginia,5.6,99.248795,7.0,5.8,4.2,1253.0,0.1876,12.229077,1.0
24,2018,6087.0,Santa Cruz County,California,5.7,94.960785,10.6,10.1,10.1,220.0,0.543,20.42155,1.0
25,2018,8045.0,Garfield County,Colorado,5.7,84.69737,9.4,8.2,11.6,46.0,0.351,10.513343,1.0
26,2018,8059.0,Jefferson County,Colorado,5.7,98.82255,6.6,8.4,7.1,567.0,0.0627,12.20289,1.0
27,2018,8119.0,Teller County,Colorado,5.7,79.72591,11.7,9.6,6.8,13.0,0.0729,11.311054,1.0
28,2018,19191.0,Winneshiek County,Iowa,5.7,65.98119,8.4,7.3,15.1,13.0,0.0115,9.033956,0.0
